0.693147
------------С++-------------
==False sharing==
    Result	      Time  	   Speedup
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
==Critical==
    Result	      Time  	   Speedup
  0.693147	        96	         1
  0.693147	        96	         1
  0.693147	        65	   1.47692
  0.693147	        47	   2.04255
  0.693147	        33	   2.90909
  0.693147	        28	   3.42857
  0.693147	        28	   3.42857
  0.693147	        25	      3.84
  0.693147	        22	   4.36364
  0.693147	        21	   4.57143
  0.693147	        19	   5.05263
  0.693147	        16	         6
  0.693147	        18	   5.33333
  0.693147	        17	   5.64706
  0.693147	        17	   5.64706
  0.693147	        16	         6
  0.693147	        15	       6.4
  0.693147	        15	       6.4
  0.693147	        14	   6.85714
  0.693147	        13	   7.38462
  0.693147	        13	   7.38462
  0.693147	        13	   7.38462
  0.693147	        12	         8
  0.693147	        12	         8
  0.693147	        12	         8
  0.693147	        10	       9.6
  0.693147	        10	       9.6
  0.693147	        10	       9.6
  0.693147	        10	       9.6
  0.693147	        10	       9.6
  0.693147	        10	       9.6
  0.693147	        10	       9.6
  0.693147	        10	       9.6
  0.693147	        10	       9.6
  0.693147	        11	   8.72727
  0.693147	        10	       9.6
  0.693147	        11	   8.72727
  0.693147	        12	         8
  0.693147	        11	   8.72727
  0.693147	        11	   8.72727
  0.693147	        11	   8.72727
  0.693147	        12	         8
  0.693147	        11	   8.72727
  0.693147	        11	   8.72727
  0.693147	        11	   8.72727
  0.693147	        11	   8.72727
  0.693147	        11	   8.72727
  0.693147	        11	   8.72727
==Reduction (static)==
    Result	      Time  	   Speedup
  0.693147	        81	         1
  0.693147	        37	   2.18919
  0.693147	        39	   2.07692
  0.693147	        28	   2.89286
  0.693147	        36	      2.25
  0.693147	        14	   5.78571
  0.693147	        17	   4.76471
  0.693147	        15	       5.4
  0.693147	        14	   5.78571
  0.693147	        13	   6.23077
  0.693147	        12	      6.75
  0.693147	        11	   7.36364
  0.693147	        19	   4.26316
  0.693147	        16	    5.0625
  0.693147	        15	       5.4
  0.693147	        15	       5.4
  0.693147	        14	   5.78571
  0.693147	        13	   6.23077
  0.693147	        13	   6.23077
  0.693147	        12	      6.75
  0.693147	        10	       8.1
  0.693147	        10	       8.1
  0.693147	        10	       8.1
  0.693147	         9	         9
  0.693147	         9	         9
  0.693147	         9	         9
  0.693147	         9	         9
  0.693147	         9	         9
  0.693147	         9	         9
  0.693147	         8	    10.125
  0.693147	         8	    10.125
  0.693147	         7	   11.5714
  0.693147	        11	   7.36364
  0.693147	         8	    10.125
  0.693147	        10	       8.1
  0.693147	        10	       8.1
  0.693147	        11	   7.36364
  0.693147	        11	   7.36364
  0.693147	        10	       8.1
  0.693147	        11	   7.36364
  0.693147	        10	       8.1
  0.693147	        10	       8.1
  0.693147	        10	       8.1
  0.693147	        11	   7.36364
  0.693147	        10	       8.1
  0.693147	        11	   7.36364
  0.693147	        10	       8.1
  0.693147	        10	       8.1
==Reduction (dynamic)==
    Result	      Time  	   Speedup
  0.693147	       289	         1
  0.693147	       253	   1.14229
  0.693147	       244	   1.18443
  0.693147	       227	   1.27313
  0.693147	       218	   1.32569
  0.693147	       233	   1.24034
  0.693147	       236	   1.22458
  0.693147	       236	   1.22458
  0.693147	       240	   1.20417
  0.693147	       271	   1.06642
  0.693147	       267	    1.0824
  0.693147	       279	   1.03584
  0.693147	       278	   1.03957
  0.693147	       289	         1
  0.693147	       319	  0.905956
  0.693147	       337	  0.857567
  0.693147	       385	  0.750649
  0.693147	       399	  0.724311
  0.693147	       421	  0.686461
  0.693147	       472	  0.612288
  0.693147	       502	  0.575697
  0.693147	       408	  0.708333
  0.693147	       527	  0.548387
  0.693147	       485	  0.595876
  0.693147	      1512	  0.191138
  0.693147	       828	  0.349034
  0.693147	       785	  0.368153
  0.693147	      1519	  0.190257
  0.693147	       964	  0.299793
  0.693147	      1143	  0.252843
  0.693147	      1738	  0.166283
  0.693147	      1200	  0.240833
  0.693147	      1245	  0.232129
  0.693147	      1273	  0.227023
  0.693147	      1084	  0.266605
  0.693147	      1909	  0.151388
  0.693147	      1348	  0.214392
  0.693147	      1821	  0.158704
  0.693147	      1974	  0.146403
  0.693147	      1388	  0.208213
  0.693147	      1425	  0.202807
  0.693147	      1499	  0.192795
  0.693147	      1512	  0.191138
  0.693147	      2056	  0.140564
  0.693147	      1532	  0.188642
  0.693147	      2037	  0.141875
  0.693147	      1554	  0.185972
  0.693147	      1978	  0.146107
